,Year,Artist,Track,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Track_Popularity,Artist_Popularity,Duration_ms,Time Signature
165,2003,Mandy Moore,Moonshadow,0.482,0.436,11,-6.052,1,0.0262,0.711,0.0,0.0751,0.596,130.478,28,66,179707,4
166,2007,O.A.R.,Hey Girl,0.464,0.924,4,-4.565,1,0.0648,0.00971,0.00239,0.914,0.248,108.318,27,61,561027,4
167,2011,Delfeayo Marsalis,Such Sweet Thunder,0.586,0.349,7,-13.492,1,0.0406,0.489,0.28,0.0711,0.382,102.493,41,29,363566,4
168,2017,Peso Da Goon,DoughHunt,0.879,0.329,0,-11.445,1,0.345,0.225,0.00074,0.103,0.208,100.056,47,41,173570,4
169,2001,Fear Factory,Back The Fuck Up (feat. B-Real),0.529,0.75,1,-4.794,1,0.223,0.000492,0.000238,0.196,0.332,198.152,28,55,189067,4
170,2009,White Noise Therapy,Flight to Amsterdam,0.148,0.475,11,-33.381,0,0.093,0.933,0.68,0.109,0.0392,73.192,49,63,422650,4
171,2009,La Onda,Me Voy A Enamorar,0.854,0.864,9,-7.423,1,0.0511,0.101,0.000128,0.0177,0.872,103.151,30,39,178120,4
172,2000,Creedence Clearwater Revival,Born On The Bayou,0.648,0.634,9,-7.566,1,0.0348,0.0586,0.0863,0.101,0.587,117.497,31,78,315440,4
173,2002,A.R. Rahman,Kannathil Muthamittal (Female),0.662,0.576,0,-11.298,1,0.0382,0.356,0.000193,0.11,0.433,103.988,27,64,393067,4
174,2002,Missy Elliott,Work It (feat. 50 Cent) - Remix,0.842,0.748,1,-5.361,1,0.279,0.061,0.0,0.0877,0.622,101.753,39,76,304560,4
175,2009,Tiësto,Ur,0.323,0.528,10,-10.796,0,0.0368,0.11,0.00452,0.102,0.0661,168.982,33,83,359747,4
176,2010,Kisses For Kings,The Only Ones (feat. Johnny 3 Tears),0.48,0.746,0,-4.533,0,0.0353,0.0261,0.0,0.113,0.232,109.985,38,26,262462,4
177,2007,Brad Paisley,Oh Love,0.555,0.475,1,-9.258,0,0.0267,0.789,0.00415,0.119,0.149,130.419,31,70,249760,4
